4233 4243
1634 3345 19
1462 1961 20
240 816 10
478 28 18
571 734 17
1067 480 13
280 3288 16
2394 1435 18
1074 1615 13
3711 3926 16
4045 2950 9
223 253 11
1461 3346 17
1099 3617 9
1603 132 16
3753 3416 19
836 3953 19
2738 1497 16
2865 2741 15
1673 1832 17
1020 2134 10
4161 135 8
472 1197 14
1553 718 10
1258 3338 14
3088 4127 9
1981 2347 5
397 1492 6
2938 460 18
159 2507 17
3539 3499 6
1907 1660 15
97 2887 9
1950 4107 19
2750 2787 17
1205 2860 19
2225 1360 16
4163 118 20
1734 1317 9
2315 3552 14
160 3052 15
2457 2899 19
1751 3446 11
3509 492 8
2133 3732 11
1805 4182 19
338 2266 8
2135 1047 10
2766 431 15
2798 3060 8
3513 1530 8
85 2136 6
325 2009 5
1727 2439 18
341 544 8
2311 2927 7
2617 1278 9
1494 1187 19
2419 1852 10
3379 1245 12
1077 3696 9
3502 1335 14
2424 643 7
242 2422 6
1875 34 7
1335 1552 6
3874 2951 18
344 3562 15
1155 1012 9
20 2349 10
2393 796 15
3341 1720 8
2456 3180 20
3906 2306 13
3924 2550 19
3131 3498 6
2573 4071 18
2965 3880 18
797 300 15
954 3211 20
2045 1292 12
3761 4186 19
1719 1646 15
3214 821 12
3353 1795 17
3943 1550 18
3794 4046 6
1190 1065 16
4040 1477 5
2443 3011 19
3850 1270 13
457 1859 9
3949 513 5
3925 2441 8
45 483 20
1003 4105 6
4122 3707 19
1827 2784 17
2185 4207 9
2258 2844 15
1213 247 15
1909 3342 20
4035 3948 14
2871 985 12
2568 2206 18
331 3191 6
2164 4190 9
121 2864 18
2984 1308 20
4208 1668 11
1574 3280 7
2771 525 15
3890 1690 14
1864 1021 16
3729 2561 9
770 3867 13
2426 1284 19
491 488 17
3005 3279 20
750 1564 14
4011 1612 15
1429 2885 8
1218 419 14
1299 677 9
2685 1330 14
3744 3241 13
2106 3057 19
875 2804 11
209 362 17
4041 2832 19
2960 2635 12
2169 2455 12
422 3528 6
1718 1451 17
1311 2785 20
3950 3722 5
3976 2593 11
2058 1009 20
1336 88 16
3159 3001 19
543 233 20
3975 3997 13
1619 1628 20
3339 770 18
185 3861 7
1658 422 14
2402 661 16
1291 3587 5
4036 4166 17
3858 274 10
806 3734 9
539 1899 5
1947 3687 12
4164 2767 16
1800 2642 27
3059 945 13
4081 3208 10
3065 800 7
3235 2278 12
26 316 9
2945 2894 10
2821 606 13
2366 113 19
2596 906 16
2431 4034 18
761 3775 20
1556 3941 20
3868 2623 9
3953 1680 20
1528 2322 20
3136 3485 13
2096 712 18
3826 2761 8
1488 2271 9
4105 3285 10
1699 2511 5
2805 285 19
226 2979 18
3780 73 10
1899 1819 11
1527 70 7
3449 294 8
4091 3539 8
1125 1146 7
1716 762 16
3955 4157 7
3340 2151 13
339 3900 20
4220 563 18
3199 461 15
786 3483 7
864 3447 11
2543 3082 12
3973 524 20
1058 505 8
3750 1410 7
1485 764 17
1700 4111 9
3986 1322 8
3605 3070 13
1149 455 6
2355 809 15
419 2015 7
2142 1276 15
2712 2185 6
1094 3642 10
3429 83 13
2322 2868 18
3752 1067 7
4131 4197 15
1386 3016 5
3923 2633 7
3362 3786 17
490 3806 6
559 4126 5
1185 1275 14
2564 3177 5
432 3465 6
3081 1498 16
996 4065 6
3541 3030 19
288 9 12
1921 784 10
3590 4022 10
753 1105 11
693 8 9
3721 3583 11
1771 3697 18
1041 3580 5
3160 3896 12
652 2345 5
3096 3678 5
2711 2295 16
342 1499 6
3476 3240 10
815 1835 8
3331 4208 11
2012 1895 8
264 1483 12
1622 540 12
3154 2673 8
3520 3857 10
1468 199 20
2992 277 17
3406 1085 20
253 3899 17
88 3640 6
2132 3428 9
3240 3601 20
1319 4072 16
1257 3530 15
3570 1355 20
899 3306 19
1941 2132 14
3345 1748 16
3755 1235 20
1504 2195 16
162 3683 17
973 1387 19
3332 4153 5
3783 2387 17
3916 1454 13
2293 2006 15
2819 1605 12
130 2291 17
412 3819 8
2211 1762 9
2116 86 17
1569 81 9
1591 2805 18
1332 3068 9
1317 1048 17
3517 1035 6
3596 2328 13
1682 2666 19
57 602 6
3877 3891 15
991 1673 14
732 267 14
2009 2627 12
357 4204 5
202 1087 16
855 2304 18
3913 2430 20
2997 1727 15
214 4110 18
2127 3117 16
1374 2042 18
2529 3558 7
1452 11 9
3060 1565 10
3193 1541 19
1802 313 10
2548 221 15
2796 4045 11
633 3101 16
2946 3585 11
2718 788 11
1040 1781 16
1160 454 14
1765 3200 5
4062 2737 14
1599 1797 16
3575 2675 6
3692 3161 16
1829 2977 15
3478 2450 5
4187 2922 11
2300 1180 15
590 2970 19
1235 662 16
577 2513 14
2780 1644 15
2633 4063 15
4068 3798 6
4052 2182 16
4177 3400 12
3620 1588 8
236 12 16
1318 68 5
829 930 10
4134 2597 12
2216 354 10
2192 736 5
3371 1191 20
3467 282 13
1790 510 10
4195 2875 14
550 735 16
154 2830 6
4054 830 15
1364 559 5
738 1978 18
3904 136 6
1728 4167 14
1170 3214 9
2390 439 7
398 2904 16
1252 3359 18
369 2582 18
2991 2412 12
2435 2779 8
1096 2775 12
2465 3897 17
3442 1855 12
2117 1768 10
3470 2327 17
3226 67 19
4024 607 11
1314 1481 15
3433 2379 8
3291 625 8
2892 4206 15
458 1440 7
2752 1356 8
3796 475 6
1376 2813 20
2375 3807 11
1683 646 12
156 1131 6
1773 2253 5
4120 2103 20
1026 1865 14
3191 2946 20
3847 1036 12
3204 2898 16
2195 2802 8
2001 3107 20
695 271 8
2840 1786 18
3415 3109 18
3867 947 14
3474 2806 6
2492 634 15
1925 3695 12
3263 664 13
1208 2557 11
3409 1860 6
3531 1519 13
3066 119 7
602 1779 15
2882 1326 16
3708 1767 12
1306 2778 5
1128 1467 9
3156 1886 9
4056 1409 11
3148 983 13
275 2457 5
556 685 10
3446 2622 19
4001 1240 13
152 867 19
4166 1196 5
2159 3142 10
1481 2560 5
3660 1290 13
3440 1006 8
3298 1418 16
2600 2709 16
1991 1200 5
3500 2212 19
3021 623 5
3079 2788 18
863 2625 17
4037 263 18
4165 1765 14
3615 3264 9
3356 630 14
3921 1938 10
1359 1500 14
3413 64 17
1739 3610 14
444 3500 8
3365 4112 11
1398 239 19
2020 776 20
1722 974 14
2031 3763 18
260 3032 6
1034 3271 12
2975 2478 13
3685 1216 5
804 3703 20
2594 892 5
2648 856 10
4203 1742 17
677 3828 16
3366 3377 10
501 920 12
1396 3207 18
1293 445 18
3237 1177 14
2000 1487 10
3888 1415 11
4117 4211 17
3228 2552 19
50 261 7
3473 1470 18
3390 2122 5
898 1350 6
3716 3639 18
2994 2498 17
231 3012 12
192 1398 17
195 2334 14
1497 629 11
3860 2496 6
2365 555 17
3172 1028 14
3485 827 5
2471 981 10
1586 2238 9
1193 3748 7
3098 2394 17
2678 131 10
1963 442 9
1726 216 5
2561 1991 17
1924 1354 20
1199 1962 11
1590 531 20
1272 310 11
6 231 5
25 2581 19
494 1053 7
2016 3282 12
2512 3883 10
489 746 9
2896 84 9
3657 2451 5
2176 2888 16
3857 3017 17
44 4154 17
2144 3137 19
2993 2848 19
721 2801 19
3715 213 13
2239 826 17
2637 3631 18
3535 1389 7
1993 3466 12
870 3333 8
310 3720 18
2415 3464 7
3358 1811 13
2413 3672 7
2848 3132 12
1831 143 18
166 692 16
3770 3151 13
153 2681 9
2559 3882 17
2466 296 12
1035 648 11
2038 1060 11
77 3047 8
2097 1494 5
2880 2516 17
2630 2819 18
3748 2115 16
3414 3520 13
687 3942 6
172 2365 16
1522 330 7
821 204 5
3527 3973 15
3713 528 16
3673 2630 10
2950 1471 8
966 1005 7
3528 1243 5
365 2538 13
2803 1524 13
2330 696 18
3499 536 14
1158 375 6
3544 2549 11
1883 1844 17
3034 682 17
2373 1461 20
1002 3519 13
3834 1152 14
881 529 10
3664 1904 18
1230 3777 15
3105 2104 7
763 3071 11
2996 2693 7
2758 1928 13
1983 3741 16
1926 1049 8
1866 837 15
813 1081 13
184 1126 5
921 2149 17
2002 1459 11
1589 105 19
1555 781 10
3163 254 20
3391 423 8
470 3293 6
3222 911 11
261 93 10
2337 4023 10
2790 916 16
1267 1285 8
3325 443 6
4015 2218 5
1843 71 16
227 632 15
1360 3080 7
923 289 18
1724 823 14
1567 1893 16
332 4165 14
3248 49 17
1434 783 6
3643 1582 19
1813 763 7
2759 804 11
3006 426 20
3042 3636 18
1626 835 6
2284 3803 14
386 1420 12
1373 921 9
1266 1167 10
1768 3141 5
2972 2028 18
1511 3684 16
297 3441 8
2092 3433 6
1436 680 7
157 2464 19
2584 1506 15
1123 1142 18
3243 3559 7
34 2576 9
2614 3612 15
4113 272 19
1614 2928 15
4095 3040 8
2635 3952 10
249 3946 8
2552 2545 19
43 2143 7
2477 3534 5
271 1450 17
1161 1679 7
1261 3445 14
4139 3790 8
1410 670 9
3702 173 5
2739 218 7
2335 2937 8
1738 2719 9
800 1225 6
846 928 13
1793 3423 18
76 949 16
3672 2146 12
1890 2748 17
2344 2826 14
3146 2234 18
2008 3868 12
4152 4008 15
2793 4189 14
1905 1495 8
4168 3371 18
1289 1109 16
2963 3978 16
3818 200 18
1978 437 8
1222 2492 20
3153 3261 6
545 754 20
2744 3928 14
1229 202 20
3928 1749 16
958 886 6
2166 2350 12
3781 1747 13
820 3662 7
1518 1617 7
2163 1883 13
289 2774 12
3805 2611 14
903 1574 20
455 2167 12
1234 3494 6
572 2344 12
3375 1867 12
1106 1462 12
910 160 19
591 2314 7
621 2985 15
234 3614 12
3903 472 16
3295 1536 16
3907 3372 10
828 4221 16
2748 3646 13
4230 4070 15
885 1702 11
1153 4067 12
1217 2241 15
2591 333 6
1056 1417 16
503 812 13
1037 1683 20
1454 3363 8
612 3796 14
351 1587 19
142 4056 8
617 717 7
3655 838 20
3683 3164 13
3659 849 16
2810 1268 9
1139 3130 15
674 1426 17
3519 228 12
2886 2997 11
2305 3772 13
3530 2456 11
2094 3195 12
4204 611 8
1432 2889 20
3044 2157 5
512 1259 10
292 3099 11
2266 3468 20
3803 3274 12
3824 2462 8
2785 2475 5
2516 1549 7
515 1001 17
235 2644 15
2416 2522 9
1059 3199 8
2208 542 11
1666 3344 12
2154 1272 11
3942 3178 12
2932 719 17
1486 1096 16
91 742 17
2354 4077 18
1060 1013 18
4173 3902 6
1776 3723 17
1207 3157 16
2310 3764 12
434 1959 8
364 515 18
772 3429 17
569 1639 18
508 1915 17
366 2974 17
7 2022 17
3521 291 16
1150 1107 19
1560 1414 5
2198 1738 19
3798 674 18
2236 3383 14
3864 3469 11
2524 2953 13
1347 3792 6
4013 2005 10
1521 3839 12
3549 595 7
3970 1858 13
3132 3821 15
3506 1210 14
3330 4142 19
563 3014 20
566 1312 6
2181 642 18
2172 3203 13
1178 4033 9
2084 3470 19
926 385 9
1985 30 12
3334 3369 20
1703 1102 17
631 3999 8
3216 857 10
1577 2333 14
3436 647 16
334 2909 18
4226 2668 6
3430 2311 17
2855 1153 20
1757 3667 18
1775 702 6
81 3961 7
895 807 14
2184 341 6
2588 1861 17
3791 1429 20
2455 3724 11
613 3339 16
2073 2586 16
2970 2072 12
2893 957 14
835 1445 9
3881 1830 15
3666 3822 12
1245 2357 20
3759 1591 20
1097 2479 8
2683 686 7
2333 264 11
2547 3568 19
1550 1491 9
3028 3811 15
3756 1165 11
616 1807 6
2533 2443 8
3076 2746 9
1244 814 15
1365 123 6
2423 4164 5
3491 2544 12
527 1397 11
520 1400 7
4077 1737 15
1767 1940 16
404 2310 17
1095 2976 9
1908 314 20
119 3925 7
3217 2872 18
2964 1222 18
1220 1532 7
909 1411 7
4049 2359 8
3346 2170 16
2468 3064 6
4191 909 12
3971 3311 19
306 3467 12
1720 3691 15
1741 875 6
204 2861 12
3335 1878 8
3233 4177 10
3871 3327 8
222 1045 13
723 3128 6
3386 4 5
2115 1463 8
3767 2236 17
1328 102 16
2063 3085 13
2622 3331 18
2740 3089 5
299 154 9
2802 3966 12
3232 2250 19
4072 209 19
1811 2470 18
1845 1027 13
3587 2660 12
270 731 12
886 581 20
1057 2336 14
2820 3918 20
3507 1821 20
367 1103 17
3762 2321 9
3276 1266 18
1017 4050 13
807 628 8
801 424 5
3623 2915 7
4058 3875 14
1062 2232 7
2299 3325 7
3031 1953 7
2397 3526 7
1842 138 18
4174 3794 6
1876 3572 18
3032 3963 13
3977 3010 17
790 2070 17
4039 3169 10
3689 3409 20
1298 2558 18
2190 2436 17
2371 2925 13
522 397 20
2482 147 16
1576 1757 10
1862 2286 18
136 745 20
3472 3743 16
4224 4097 16
2867 3848 19
3542 1907 6
1479 3853 13
2131 1457 13
2728 2406 15
1392 852 15
2907 1623 12
1644 2902 12
3554 208 20
2625 2100 18
627 1885 15
998 108 9
2370 124 19
1326 450 7
2605 193 20
1943 3225 19
123 1888 7
28 265 11
1211 130 20
2093 3374 15
4005 2807 9
2933 3876 13
3141 2411 18
2336 466 18
2987 1856 19
1784 747 15
657 1320 15
1774 2882 13
622 2144 14
4064 2546 8
3568 1363 17
2263 3582 7
3428 4213 17
3455 2838 19
4010 2107 7
3000 15 6
4047 408 20
1639 2071 16
4060 3417 12
3283 2655 19
2668 2585 19
3853 3923 6
1009 3935 5
2013 2465 17
394 1613 14
2077 3298 8
694 320 13
2328 1166 16
2374 1359 8
1736 43 6
2437 2836 6
2276 3549 13
3438 1347 13
1431 1864 11
41 3481 16
255 1995 6
3094 790 18
302 2696 10
387 986 5
3586 4061 14
3766 608 16
3271 2173 18
3085 89 11
3574 3204 15
1929 3356 12
1672 1437 12
2686 4210 17
4223 1788 8
383 1014 7
424 2055 16
463 961 16
3207 766 12
3927 2697 17
3749 410 20
4008 3401 7
146 79 15
3608 960 17
984 2358 13
2506 569 16
601 205 7
4038 3751 10
402 2440 5
187 3816 15
2869 2259 12
1367 1232 7
3278 2941 18
3878 3716 18
2368 109 6
2911 1427 17
3669 3133 19
4216 3266 6
3274 3226 19
4225 3911 19
480 601 16
715 1202 9
3138 486 20
847 2373 15
3687 3263 11
3161 887 8
2155 29 12
850 2209 13
3247 3308 13
620 306 8
3043 4113 18
3190 1578 17
1853 3637 13
3123 2421 9
3402 1407 12
3336 3969 14
301 1094 20
2940 1157 18
2809 1475 20
1304 3884 8
1675 1634 12
1134 1088 5
573 104 16
3670 2608 17
1435 1947 17
3540 2319 13
565 2265 18
2325 1602 13
1653 2722 7
2464 3088 11
1407 355 7
2174 3420 8
3001 3987 9
655 2342 17
632 257 17
2475 3436 12
2555 2540 5
548 1626 11
1012 616 17
623 624 8
443 676 9
2113 435 5
1112 1783 13
2004 1234 8
56 969 6
564 4009 16
3862 2918 10
3563 1609 18
4160 2880 15
1414 3590 15
2047 3066 18
2868 1176 9
1807 20 19
452 1071 14
776 2536 17
3024 3275 19
752 2191 13
3407 2240 15
3245 3655 18
4197 47 5
2995 3836 10
3383 2231 9
1118 4160 15
2628 4121 19
3597 3231 10
1025 1579 19
2472 3995 5
3822 2733 12
2921 3784 18
3084 1294 14
3256 3971 12
3167 3860 12
2079 4200 18
2279 2469 15
2639 688 5
290 2269 17
1109 38 19
2513 2121 8
498 50 17
3221 80 11
1583 2524 8
464 3397 18
4023 4220 6
3408 3360 13
1725 2119 12
929 819 13
2187 2118 11
2664 3329 11
4138 4104 20
1999 568 10
2669 3733 18
3593 2959 15
937 237 19
3327 977 19
1013 1086 11
148 3783 10
308 2506 20
1671 107 7
739 2541 7
2357 3776 13
2202 1323 17
3267 711 8
3099 229 19
2412 2483 5
1822 621 8
1343 1548 17
3908 3295 15
2386 1884 5
1296 689 15
3229 2845 10
2520 18 14
446 1817 14
3384 3399 5
2483 3554 6
2403 1230 17
1714 943 18
975 1964 17
4115 2563 16
3114 241 13
729 1112 11
1896 2378 6
1075 3380 11
2057 1254 12
1006 738 5
3423 795 14
558 117 19
827 3622 10
1223 2849 16
3945 3912 12
1196 350 8
144 1097 10
2981 3477 19
4080 2307 11
2959 3834 13
349 4143 20
493 798 18
1495 3053 19
2401 721 19
2160 1624 12
2557 3123 5
1687 2069 16
773 3661 19
1325 2065 9
1748 2094 10
2590 1233 13
2756 2947 14
3417 2346 5
1475 2032 17
179 2817 17
1761 1791 14
957 1128 5
2602 2176 19
3880 939 13
2451 3335 15
2207 2618 10
2405 554 12
905 3009 12
3707 2332 13
840 1207 18
2690 1283 17
449 927 18
4089 491 6
1227 1473 19
4084 3294 12
2765 3664 9
3723 384 10
3422 2609 15
1400 1314 10
2247 2290 16
140 4137 19
645 818 10
2342 1943 20
1705 1231 11
1823 1930 6
3255 2183 18
3164 4147 17
1615 3974 11
1255 3387 11
2006 1344 7
2227 4027 14
2046 1743 17
3793 1100 5
837 2770 8
3344 757 9
16 2588 18
205 2431 8
951 952 5
3338 2994 10
224 2620 8
1156 522 11
3251 2949 17
3360 3603 17
2138 1815 19
492 2847 11
3810 2649 15
2681 1164 19
3533 562 6
1329 1217 10
2348 3358 6
13 1586 11
2272 2338 11
922 733 18
134 3618 6
978 3449 6
889 1421 14
1957 1804 5
2812 780 19
238 2425 16
3493 1413 10
4136 2447 16
3560 3055 9
932 636 14
871 1221 6
1384 1201 14
1503 82 18
1558 3063 12
933 2163 9
3285 2793 20
3400 402 6
120 4130 18
14 1537 9
737 2364 14
324 633 18
1197 739 5
716 1967 13
61 2010 8
309 3706 19
1777 2381 14
938 3938 11
3693 532 12
1395 1632 14
1971 4129 16
1309 2865 78590
2815 3418 18
2238 2066 5
1188 1974 16
3487 1997 20
3835 42 12
1448 1453 7
3964 340 15
1533 2840 8
2860 1255 11
3385 526 18
2450 4120 15
2042 908 17
4111 3270 7
3503 321 10
3936 1501 9
3861 400 13
3851 1567 9
692 2418 20
3382 579 8
2656 4098 11
1405 1703 16
2411 2607 5
1604 2822 7
717 594 9
628 3843 10
2382 502 5
318 45 10
2797 1367 18
600 2828 7
3559 301 16
610 4040 7
3187 1759 8
3097 2966 13
769 724 18
1500 2731 7
1855 3111 8
2607 2846 12
1812 2177 6
4193 392 13
410 1080 6
510 955 16
2285 3181 9
2795 3343 15
1785 2811 16
2672 2083 18
540 393 19
2762 4171 11
2254 3542 6
178 1596 11
1363 3061 20
1131 2224 5
1105 3503 13
4178 176 10
2808 2584 82942
1210 1942 14
1419 2058 13
3480 4055 13
167 1661 12
2182 869 16
1259 3413 18
69 3649 14
2080 1979 10
3823 1551 20
636 1033 20
3388 549 10
3606 2686 13
1092 16 11
1323 35 18
1403 2031 12
562 2814 11
2103 2955 11
1526 3592 8
4130 3168 16
2906 805 15
1233 3576 5
212 3316 7
1840 591 15
2137 2526 11
1580 2989 6
2708 1902 20
557 874 19
3995 1724 20
3992 2273 12
3223 191 11
3299 3513 8
529 245 18
2259 1066 7
3529 1540 16
4107 3398 13
3610 4140 19
2861 126 7
1228 33 13
1081 2903 13
3318 3305 12
1711 1295 18
3811 1108 12
2101 786 18
1735 3379 10
2069 1504 20
3962 2987 13
3668 1442 11
3290 3633 15
437 1954 12
3376 1484 12
3404 2606 16
3352 462 5
2558 3657 19
1387 479 10
4150 1381 17
161 509 13
1977 1150 11
2217 4101 12
936 926 8
3387 3717 9
1695 1307 9
4132 1175 8
2534 411 5
3984 2952 20
3650 19 17
2418 1072 11
4097 989 19
531 1059 18
942 1039 19
1513 2792 9
511 1236 9
1549 4075 16
439 1764 19
1647 2893 20
2787 3437 10
246 2018 17
1147 3690 14
671 3430 9
1554 1934 16
2953 1980 20
4031 4095 17
4180 941 9
1706 2809 16
1327 2184 10
4016 793 5
944 1515 8
423 878 12
1721 942 14
1370 1772 14
2935 999 7
1872 414 8
4201 3210 20
3212 1364 7
3732 2800 7
40 1173 15
382 3967 5
2511 155 8
359 1327 16
1416 3563 20
859 3124 16
87 1608 8
3595 1827 9
373 2039 14
509 1918 18
251 2617 14
1206 851 15
1544 1920 12
1385 3253 16
2890 2907 8
2887 2077 12
1 2399 16
1948 794 18
126 3975 5
1071 3675 17
878 665 14
3807 1401 11
3994 4223 10
3054 1754 10
1581 3083 10
100 4232 16
2491 3729 16
4147 3858 11
865 2377 15
190 4068 8
706 3976 19
1505 1698 16
3948 2776 14
1496 2016 10
2024 545 17
1116 495 11
1519 2403 13
2011 2886 13
2651 561 10
2913 879 14
2755 3426 17
2314 808 12
3751 166 13
3115 3421 10
726 979 11
969 933 11
1065 2961 5
4114 2061 11
462 2998 20
3813 1555 12
2082 1771 14
229 4133 17
4096 3302 11
2114 3189 17
643 2583 7
615 3685 11
4104 2521 19
2769 3223 6
1788 115 12
4000 1718 9
1760 3018 19
122 3003 20
2806 250 15
3122 3125 6
2889 2382 15
3184 3491 18
4004 753 6
2499 1662 5
2825 587 7
2508 958 12
221 334 6
3155 2260 16
2894 3419 74009
1828 3566 13
2392 658 20
1723 1095 6
3601 1074 20
3460 2214 8
2108 2523 15
3804 2030 20
2039 4146 14
3329 1944 9
1456 2396 19
93 2480 19
3830 3773 17
3312 2228 5
4170 2174 19
3997 430 15
1219 1976 15
30 2542 7
4155 2202 15
2064 971 10
2044 2862 20
372 2371 10
1417 3072 8
561 255 8
930 707 11
3959 3186 10
3188 2252 5
989 976 20
935 322 12
1108 2315 12
107 2716 11
3768 1900 18
1930 1430 10
4116 276 18
1482 2196 13
1264 97 18
844 803 15
1893 2389 7
295 441 10
1249 2726 8
3952 2632 18
1530 1728 19
2288 1903 20
485 3472 5
803 3334 5
1292 3606 5
1194 2130 8
2260 2101 14
3297 3823 13
407 269 7
2866 3616 17
4140 4021 10
2705 1960 9
853 3102 19
1968 1525 7
3504 596 14
143 3922 18
1588 270 17
115 232 5
2003 3457 9
1022 872 6
469 1334 17
3730 1339 15
3133 1368 12
3652 4199 16
1404 3569 13
995 3258 18
2156 3832 19
1204 1485 16
3589 893 16
3686 3817 5
3797 2701 20
1969 1338 13
3856 3269 13
2936 159 16
2948 2340 9
2582 1603 8
48 1526 12
3116 847 11
2019 2972 14
3505 756 14
117 799 8
11 3265 5
2066 2636 6
1492 325 11
3286 3185 10
3373 3708 11
1795 4132 20
1571 1448 5
2055 1766 9
2707 1812 6
1200 359 9
2234 1836 7
3777 2742 13
3038 1745 18
131 2812 17
1641 347 10
374 3824 10
3772 1030 7
1288 860 7
917 1663 14
1708 1434 14
2873 589 8
2110 2142 17
2962 4062 7
778 1618 19
1863 2270 8
2033 3299 9
1455 3134 7
346 2679 7
3036 3985 5
254 3236 12
1029 3710 18
2613 1775 8
3543 2837 8
348 2975 9
3734 1456 17
2320 3950 16
624 363 16
2966 1256 10
1659 2535 5
552 1503 7
428 1263 5
2927 3872 18
440 2705 5
2458 2690 19
1951 2280 13
4118 179 5
1979 732 12
3944 669 5
1664 2508 13
1691 3190 13
9 2871 12
2278 3550 13
1766 2233 6
702 2771 7
421 1692 5
3051 1741 5
141 2372 5
2667 399 16
3795 3205 17
2540 4099 12
2909 342 12
2246 1894 10
352 3726 16
961 2656 8
2470 210 15
2829 1713 7
3279 912 18
3859 841 6
635 381 5
3675 691 20
1849 2160 5
2563 3506 6
1806 3654 18
3437 2050 12
8 1424 8
3960 1949 17
3603 1247 13
981 3543 18
2665 1439 12
642 1376 6
4154 1478 5
2611 2595 17
3684 2033 6
1515 946 16
748 1425 13
29 1993 9
3516 3326 16
707 3255 17
2844 1172 19
1305 500 5
2319 2138 20
2877 386 19
896 2598 14
2944 3276 13
2967 2025 9
560 3297 5
658 2639 17
760 3163 5
3125 4024 9
2387 394 18
1051 1299 6
1755 944 10
2838 106 7
1597 3625 9
2289 1965 7
3071 3110 14
2346 3432 20
3588 3787 18
1953 468 17
3646 3290 6
170 2530 19
3821 3890 14
3178 1620 6
4033 2744 10
438 1145 12
4227 714 5
4148 1370 20
2224 2352 7
2673 959 8
2120 324 15
988 1076 12
1814 2353 14
475 297 11
1381 3260 16
784 2354 19
1181 654 6
925 1972 6
406 3320 5
547 1559 14
2362 145 10
1195 41 10
1283 3442 14
2486 2823 9
3370 3357 6
3937 3171 7
3714 2051 14
1913 1840 5
585 1838 8
2078 4069 9
1064 1296 20
2277 3136 12
4217 1970 18
1412 2654 17
2446 1752 17
3773 901 9
1124 2643 8
644 4193 8
1004 640 10
3186 2135 7
2503 436 17
1990 1154 19
2242 2397 13
3479 2169 17
608 3888 17
2439 3998 13
2542 660 14
4087 1412 7
3189 2672 8
1654 779 20
1353 3405 8
2089 3122 19
1506 842 18
607 2495 16
1676 2863 14
2874 1892 14
1608 2020 12
1202 3025 11
427 1898 17
322 2857 15
1529 1184 11
2572 3042 13
3303 4135 9
2943 2509 17
481 668 17
1916 580 5
1408 4125 14
3277 2967 15
3410 1219 11
2209 791 7
2485 446 17
1539 2969 14
722 1493 18
3917 2133 12
2623 1950 10
18 3936 8
2724 1625 13
1136 1149 18
3063 1068 20
1791 3756 5
1688 3778 19
33 3929 14
2847 697 6
199 574 16
3416 1566 10
3309 2049 5
994 2035 6
2327 4222 6
3855 3635 18
3185 1343 10
300 1258 6
312 367 14
4141 698 15
1010 331 5
703 501 6
3018 3556 16
2427 3709 13
3162 3149 11
787 2117 20
2714 3340 10
764 704 5
3049 1545 8
1563 148 8
3492 3143 17
2571 2533 20
1889 3647 5
201 1619 15
1984 3845 10
1144 56 13
3319 3968 10
2359 3160 9
1710 3196 7
2212 3623 13
2 1576 14
3211 77 8
713 1098 9
2237 111 18
1163 2739 9
230 6 12
3788 2242 11
327 262 18
2091 1353 15
755 550 6
919 226 15
3219 196 16
1928 3810 10
1826 4216 44
3268 1998 15
3898 3757 5
1976 481 18
2494 2385 11
1778 744 13
1933 2874 9
1532 3557 18
1628 2829 17
2849 1242 15
496 388 8
3633 1822 16
2603 1282 18
567 1244 10
3177 2459 16
4124 3551 7
3736 3718 5
1917 2292 15
2827 817 8
1356 1816 8
2580 1580 19
1914 2045 20
2850 2064 18
4213 1987 12
1179 2293 15
1312 1665 20
3635 3007 6
4153 181 12
1066 470 18
1209 3584 13
3045 346 12
719 3002 5
860 1863 13
3641 1977 8
2070 2808 14
3494 1610 14
2027 1050 5
2032 1183 5
1262 3508 5
2638 3065 19
646 2318 11
3775 638 11
663 2190 11
3564 1740 8
36 1739 17
1620 1321 7
2916 2282 20
866 3541 10
3546 1325 19
1509 227 16
2553 1606 13
1715 715 6
1330 3451 19
576 3965 10
2438 1241 12
2615 3767 17
3745 3000 13
2761 3252 11
2090 1854 12
2165 474 11
3918 4066 5
1082 1655 19
718 934 5
3317 172 20
3782 4025 18
2030 256 11
2514 1227 19
2760 1433 20
1031 3904 19
3978 2225 6
1338 238 20
1126 3361 12
1903 2221 18
3363 4218 10
1595 3350 20
198 767 7
2005 2908 5
1164 1041 11
3182 1466 13
992 4083 20
2389 3197 13
2856 2525 15
3843 2219 6
2376 1593 20
533 870 20
1047 3943 12
3434 3281 13
906 3846 17
3037 2199 8
284 3771 15
378 2449 7
211 180 9
1393 2158 9
3450 484 9
2807 456 9
2845 3165 11
712 4014 11
213 963 15
902 2305 15
4044 2296 9
2324 3051 5
3173 1956 12
993 225 18
1394 149 20
824 298 13
3674 2090 8
371 1069 12
114 1630 20
2294 1104 6
2528 4090 20
4028 913 15
1789 2370 7
1070 144 13
1042 2580 13
1372 3138 19
1290 3120 12
3092 2578 13
877 3235 6
286 1869 17
3939 1502 20
2017 1431 5
4065 22 8
1817 339 19
799 2029 15
188 2335 5
956 752 17
2391 3354 12
1269 2229 5
3792 3247 19
1183 728 14
2961 288 20
2399 10 20
3195 517 15
2958 2060 17
3328 3744 20
541 4214 7
4119 937 5
542 2175 17
1922 2258 11
2816 1516 13
2857 3801 17
2100 358 12
1399 970 5
1531 1711 14
431 508 19
1172 2488 19
3135 2041 10
1877 3474 11
2177 2706 5
2982 1011 7
3968 2926 20
2128 192 18
3776 1438 14
3990 1374 6
401 1444 5
2859 3731 16
1821 3641 19
